origin	dest	capacity	length	fft	alpha	beta	speedLimit	LinkType	NMoto	NCar
5190	9345	910	0.16	0.23414634146341462	1.5577	3.6819	0	6	0	0
5185	5179	2300	0.142623	0.164565	0.8208	4.9382	0	1	1	0
5185	5175	2300	0.331869	0.38292576923076926	0.8208	4.9382	0	1	1	0
5176	5186	2300	0.296112	0.3416676923076923	0.8208	4.9382	0	1	1	0
5178	5186	2300	0.104079	0.12009115384615385	0.8208	4.9382	0	1	1	0
5173	5183	1650	0.15	0.2195121951219512	1.5577	3.6819	0	6	0	0
5189	5191	1650	0.15	0.2195121951219512	1.5577	3.6819	0	6	0	0
5173	5172	1650	0.05	0.09375	1.5554	3.829	0	6	0	0
5182	32891	1950	0.18	0.2634146341463414	1.5577	3.6819	0	6	0	0
5171	5065	2490	0.11	0.20625	1.5554	3.829	0	4	0	0
5192	5065	1850	0.068066	0.12762375	1.5554	3.829	0	6	0	0
5187	5192	2300	0.349262	0.4029946153846154	0.8208	4.9382	0	1	1	0
5193	5184	2300	0.230345	0.2657826923076923	0.8208	4.9382	0	1	1	0
5192	5193	2300	0.20242	0.23356153846153846	0.8208	4.9382	0	1	1	0
5187	5101	2300	0.129873	0.14985346153846152	0.8208	4.9382	0	1	1	0
5100	5184	2300	0.070041	0.08081653846153847	0.8208	4.9382	0	1	1	0
5171	5193	1650	0.063037	0.09224926829268291	1.5577	3.6819	0	6	0	0
5065	10605	2490	0.05	0.09375	1.5554	3.829	0	4	0	0
5195	13981	1650	0.15	0.28125	1.5554	3.829	0	6	0	0
5195	13984	1650	0.16	0.3	1.5554	3.829	0	4	0	0
9338	5194	1650	0.36	0.6749999999999999	1.5554	3.829	0	4	0	0
5090	5170	2490	0.21	0.39375	1.5554	3.829	0	4	0	0
5161	13958	1570	0.98	1.176	3.76	3.29	0	5	0	0
5165	13997	3920	0.77	0.924	1.1507	3.7967	0	3	0	0
5165	5161	1570	2.35	2.82	3.76	3.29	0	5	0	0
5162	5160	1570	1.16	1.392	3.76	3.29	0	4	0	0
5080	5082	1570	0.42	0.504	3.76	3.29	0	5	0	0
5095	17212	1300	0.29	0.42439024390243896	1.5577	3.6819	0	5	0	0
5197	5198	1570	9.19	11.027999999999999	3.76	3.29	0	5	0	0
5197	5199	1570	6.92	8.304	3.76	3.29	0	5	0	0
5054	15954	1570	3.29	3.948	3.76	3.29	0	5	0	0
5084	5197	1570	0.5	0.6	3.76	3.29	0	5	0	0
5083	10161	1570	9.93	11.916	3.76	3.29	0	5	0	0
5202	5203	1570	0.17	0.31875000000000003	1.5554	3.829	0	3	1	0
5204	5205	910	0.76	0.912	1.1507	3.7967	0	5	0	0
5206	5207	770	0.68	1.2750000000000001	1.5554	3.829	0	6	0	0
5208	10308	5240	0.608936	0.608936	0.8397	5.3445	0	4	1	0
5209	13650	910	0.61	0.8926829268292682	1.5577	3.6819	0	6	0	0
5211	5212	770	0.41	0.7687499999999999	1.5554	3.829	0	6	0	0
5213	5212	770	0.23	0.33658536585365856	1.5577	3.6819	0	5	0	0
5215	5216	1570	0.42	0.7875	1.5554	3.829	0	4	0	0
5209	13651	1950	0.22	0.32195121951219513	1.5577	3.6819	0	3	0	0
5219	5206	770	0.19	0.35625	1.5554	3.829	0	4	0	0
5221	7575	770	0.34	0.6375000000000001	1.5554	3.829	0	4	0	0
5223	5224	1950	0.26	0.48750000000000004	1.5554	3.829	0	6	0	0
5225	5226	1760	0.11	0.20625	1.5554	3.829	0	6	0	0
5232	7800	2370	0.21	0.39375	1.5554	3.829	0	6	0	0
5234	5235	1740	0.23	0.33658536585365856	1.5577	3.6819	0	6	0	0
5236	5237	2490	0.22	0.4125	1.5554	3.829	0	6	0	0
5243	16268	770	0.46	0.8625	1.5554	3.829	0	4	0	0
5245	5246	1570	0.55	1.03125	1.5554	3.829	0	4	0	0
5247	5044	4000	0.548783	0.6332111538461539	0.8208	4.9382	0	1	1	0
5247	5248	5670	0.579544	0.33435230769230767	0.885	4.8323	0	1	1	0
5051	5249	4000	0.696578	0.8037438461538462	0.8208	4.9382	0	1	1	0
5250	5249	5670	0.200229	0.11551673076923076	0.885	4.8323	0	1	1	0
5251	5252	5400	1.019864	0.8269167567567568	1.1396	4.2634	0	2	1	0
5253	5254	3690	1.019454	0.8265843243243244	1.1396	4.2634	0	2	1	0
5255	9935	2660	0.12	0.22499999999999998	1.5554	3.829	0	6	0	0
5258	15098	2660	0.016732	0.0313725	1.5554	3.829	0	6	0	0
5260	8853	810	0.13	0.52	1.5577	3.6819	0	6	0	0
5262	15702	1950	0.01	0.04	1.5577	3.6819	0	6	0	0
5261	8839	810	0.17	0.68	1.5577	3.6819	0	6	0	0
5266	8807	910	0.22	0.88	1.5577	3.6819	0	6	0	0
5269	5271	1570	0.23	0.43125	1.5554	3.829	0	6	1	0
5270	5271	1650	0.405014	0.75940125	1.5554	3.829	0	3	1	0
5272	9060	2370	0.01	0.01875	1.5554	3.829	0	6	0	0
5274	5275	6150	1.016569	0.8242451351351352	1.1396	4.2634	0	2	1	0
5278	5277	810	0.22	0.32195121951219513	1.5577	3.6819	0	6	0	0
5276	5279	1230	0.585106	0.8562526829268292	1.5577	3.6819	0	6	0	0
5281	5282	860	0.12	0.22499999999999998	1.5554	3.829	0	6	0	0
5283	16318	2950	0.11	0.16097560975609757	1.5577	3.6819	0	3	0	0
5283	5282	2950	0.2	0.2926829268292683	1.5577	3.6819	0	3	0	0
5285	16319	2950	0.11	0.16097560975609757	1.5577	3.6819	0	3	0	0
5279	5286	3920	0.771033	0.771033	1.0801	4.4767	0	2	1	0
5287	5288	6150	1.428761	1.1584548648648647	1.1396	4.2634	0	2	1	0
5289	8216	4100	0.295699	0.23975594594594596	1.1396	4.2634	0	2	1	0
5291	8215	3750	0.100855	0.11637115384615385	0.8208	4.9382	0	2	1	0
5293	5294	1570	0.220178	0.41283375	1.5554	3.829	0	6	0	0
5296	5297	1570	0.234767	0.440188125	1.5554	3.829	0	6	0	0
5300	5301	4100	0.27608	0.22384864864864865	1.1396	4.2634	0	2	1	0
5302	8153	1960	0.24991	0.24991000000000002	0.8397	5.3445	0	6	1	0
5293	8156	910	0.12	0.17560975609756097	1.5577	3.6819	0	6	0	0
5302	5304	2050	0.3	0.24324324324324326	1.1396	4.2634	0	2	1	0
5305	5306	1570	0.224133	0.420249375	1.5554	3.829	0	6	0	0
5307	5308	4100	1.297448	1.0519848648648649	1.1396	4.2634	0	2	1	0
5309	16331	770	0.26	0.48750000000000004	1.5554	3.829	0	6	0	0
5310	5311	1570	0.11	0.20625	1.5554	3.829	0	6	0	0
5773	8219	2790	0.19	0.35625	1.5554	3.829	0	6	0	0
5313	5314	2950	0.703783	0.8445396000000001	1.0801	4.4767	0	2	0	0
5314	16510	2950	0.070259	0.070259	1.0801	4.4767	0	2	0	0
5316	8804	1760	0.05	0.2	1.5554	3.829	0	6	0	0
5318	15295	1850	0.06	0.11249999999999999	1.5554	3.829	0	6	0	0
5269	9058	860	0.01	0.01875	1.5554	3.829	0	6	0	0
7736	7836	1860	0.41	0.6	1.5577	3.6819	0	6	1	0
6772	7838	2500	1.13	1.2327272727272727	1.0153	4.7948	0	6	1	0
5328	15288	2950	0.12	0.17560975609756097	1.5577	3.6819	0	6	0	0
5246	5036	3140	3.23	3.8760000000000003	3.76	3.29	0	4	0	0
5329	5284	1860	0.31	0.4536585365853658	1.5577	3.6819	0	6	0	0
5330	15388	1570	0.09	0.16874999999999998	1.5554	3.829	0	6	0	0
5332	7861	1570	0.01	0.01875	1.5554	3.829	0	6	0	0
5334	5335	8300	1.082539	0.6245417307692307	0.885	4.8323	0	1	1	0
5336	5337	8300	1.264299	0.7294032692307693	0.885	4.8323	0	1	1	0
5338	5339	6300	6.671841	3.849139038461538	0.885	4.8323	0	1	1	0
5340	5341	6300	6.575783	3.7937209615384617	0.885	4.8323	0	1	1	0
5314	15672	1760	0.12	0.22499999999999998	1.5554	3.829	0	6	0	0
5343	7884	2790	0.01	0.01875	1.5554	3.829	0	6	0	0
5344	8785	1760	0.552089	1.035166875	1.5554	3.829	0	6	0	0
5345	10005	6980	0.16	0.3	1.5554	3.829	0	3	0	0
5348	10010	1570	3.46	13.84	3.76	3.29	0	6	0	0
5349	15283	1760	0.04	0.075	1.5554	3.829	0	6	0	0
5352	10214	1570	0.19	0.228	3.76	3.29	0	6	0	0
5354	10158	1570	0.69	0.828	3.76	3.29	0	4	0	0
5356	13466	910	1.15	1.6829268292682924	1.5577	3.6819	0	6	0	0
